train,train_accuracy,val,val_accuracy,lr_w,lr_m
0.7536354775428772,0.8507916666666666,0.7616618237596877,0.8483333333333334,0.001,0.001
0.5482928987344106,0.8761458333333333,0.5625288638662784,0.8714166666666666,0.001,0.001
0.44218342351913453,0.8898541666666666,0.4583890095670172,0.8824166666666666,0.001,0.001
0.37714895220597583,0.8976666666666666,0.39823258874264167,0.88725,0.001,0.001
0.3380661163330078,0.9011458333333333,0.3617544427831122,0.8920833333333333,0.001,0.001
0.3022993226846059,0.9116875,0.3349207376546048,0.8958333333333334,0.001,0.001
0.28080836848417917,0.9130416666666666,0.3189329140363856,0.9009166666666667,0.001,0.001
0.2572546016375224,0.9216875,0.29988923954202773,0.9038333333333334,0.001,0.001
0.23392846173048018,0.9239791666666667,0.27926140833408275,0.91,0.001,0.001
0.2602635873556137,0.9141041666666667,0.31337377460713084,0.8945,0.001,0.001
0.22107839181025823,0.9296041666666667,0.27640950457846863,0.9048333333333334,0.001,0.001
0.19355414074659347,0.9383541666666667,0.25929841082146826,0.90975,0.001,0.001
0.18872457722822825,0.9375416666666667,0.25603056017388687,0.9115,0.001,0.001
0.18596709463993708,0.9365208333333334,0.26380132107024495,0.9074166666666666,0.001,0.001
0.1837781742811203,0.9372083333333333,0.26155071943364244,0.9085,0.001,0.001
0.17450849081079164,0.9388958333333334,0.263649194798571,0.9090833333333334,0.001,0.001
0.18535639478762944,0.9318958333333334,0.2781615602843305,0.902,0.001,0.001
0.1522500416636467,0.9480625,0.24843615134979816,0.9148333333333334,0.001,0.001
0.14780625582734744,0.949,0.2552838550603136,0.9135,0.001,0.001
0.1324675313134988,0.9561875,0.252261775922268,0.9156666666666666,0.001,0.001
0.13455426022410394,0.9540416666666667,0.2523041456303698,0.9130833333333334,0.001,0.001
0.1285169822871685,0.956875,0.2528672135890798,0.914,0.001,0.001
0.13851886878410974,0.9510208333333333,0.27000330071500006,0.9080833333333334,0.001,0.001
0.1359100165863832,0.9492291666666667,0.273362009449208,0.9063333333333333,0.0005,0.0005
0.09810332770645619,0.96775,0.2471533699872646,0.9179166666666667,0.0005,0.0005
0.1045882349908352,0.9649583333333334,0.25840541847208714,0.91425,0.0005,0.0005
0.09473054194450378,0.9695833333333334,0.2498951773060129,0.9185833333333333,0.0005,0.0005
0.0876531440714995,0.9715833333333334,0.2494910327678031,0.91725,0.0005,0.0005
0.08954135139286518,0.9705,0.25773470832946455,0.9145833333333333,0.0005,0.0005
0.0906683132002751,0.9698541666666667,0.2627769965440669,0.91375,0.0005,0.0005
0.0873022695183754,0.9706041666666667,0.263276033579035,0.9145,0.00025,0.00025
0.07200663936634859,0.97875,0.25140984086914264,0.9191666666666667,0.00025,0.00025
0.07081333395342032,0.9788125,0.25680268064458317,0.9164166666666667,0.00025,0.00025
0.07585239636401335,0.9758333333333333,0.2635064480152536,0.91575,0.00025,0.00025
0.06717377901573976,0.9805625,0.25597206582414345,0.91775,0.00025,0.00025
0.06714046774307887,0.9801875,0.2611604098309862,0.9173333333333333,0.00025,0.00025
0.07048600118855636,0.97675,0.26588029683904446,0.9153333333333333,0.000125,0.000125
0.061787858898440996,0.9828333333333333,0.26440658975154796,0.91675,0.000125,0.000125
0.05996463217337926,0.9831458333333334,0.2599416806342754,0.918,0.000125,0.000125
0.05887345145146052,0.9830416666666667,0.2614389122166532,0.9178333333333333,0.000125,0.000125
0.059205443734924,0.983375,0.2625195840571789,0.9160833333333334,0.000125,0.000125
0.05798247429231802,0.9842916666666667,0.2657838115032683,0.9158333333333334,0.000125,0.000125
0.05709672180811564,0.9840208333333333,0.26355796228063866,0.9169166666666667,6.25e-05,6.25e-05
0.05487179849545161,0.9856666666666667,0.26234545368463436,0.9166666666666666,6.25e-05,6.25e-05
0.053849977972606815,0.9855833333333334,0.26172963292040724,0.9175833333333333,6.25e-05,6.25e-05
0.053866182600458466,0.9858333333333333,0.2624935032205379,0.9181666666666667,6.25e-05,6.25e-05
0.05277600408842166,0.9861041666666667,0.26394718504966574,0.9181666666666667,6.25e-05,6.25e-05
0.05743684955934684,0.9835833333333334,0.2699850534505032,0.9166666666666666,6.25e-05,6.25e-05
0.05417643332978089,0.9851875,0.26832123195871393,0.916,3.125e-05,3.125e-05
0.05214789705971877,0.9864166666666667,0.26402213852456274,0.9165,3.125e-05,3.125e-05
