train,train_accuracy,val,val_accuracy,lr_w,lr_m
0.46620519828796386,0.8289166666666666,0.47286261523023565,0.8228333333333333,0.003,0.003
0.37553574534257256,0.8633125,0.38996148553300414,0.85575,0.003,0.003
0.3430957412719727,0.8724583333333333,0.36167303488609637,0.8633333333333333,0.003,0.003
0.3323909568587939,0.8765625,0.35821718865252555,0.866,0.003,0.003
0.3148714485168457,0.8823958333333334,0.3367954926921966,0.8770833333333333,0.003,0.003
0.3089818857510885,0.88425,0.3406101125986018,0.8730833333333333,0.003,0.003
0.29291006716092427,0.8911458333333333,0.31995817733571885,0.8813333333333333,0.003,0.003
0.2774776781996091,0.8958958333333333,0.31438744733942314,0.8830833333333333,0.003,0.003
0.27597284511725106,0.8966666666666666,0.31489588003209296,0.886,0.003,0.003
0.2768379983703295,0.8957291666666667,0.3102868053507298,0.8856666666666667,0.003,0.003
0.2683573713302612,0.8989583333333333,0.306548591306869,0.8856666666666667,0.003,0.003
0.25975326136747995,0.9033958333333333,0.3007140619323609,0.8904166666666666,0.003,0.003
0.2505461620291074,0.9069375,0.29027330209600166,0.8921666666666667,0.003,0.003
0.25090011169513066,0.9072291666666666,0.2942589781385787,0.8941666666666667,0.003,0.003
0.26086380857229235,0.9027708333333333,0.29976647426473335,0.88775,0.003,0.003
0.24587852424383164,0.9081041666666667,0.2896359898942582,0.8919166666666667,0.003,0.003
0.240270800113678,0.9107083333333333,0.28520664065442186,0.89275,0.003,0.003
0.2654238522450129,0.8996666666666666,0.30943290445398774,0.88525,0.003,0.003
0.2464124159415563,0.9073958333333333,0.30498188036553403,0.8875,0.003,0.003
0.23509890774885814,0.9115416666666667,0.2866095206204881,0.8955833333333333,0.003,0.003
0.25088350391387937,0.9052708333333334,0.2989048333244121,0.8880833333333333,0.003,0.003
0.23823763585090638,0.9110208333333333,0.29481544456583386,0.8890833333333333,0.003,0.003
0.2373305561542511,0.91175,0.298078236427713,0.8903333333333333,0.0015,0.0015
0.22668580053249995,0.9159583333333333,0.28852741071518434,0.893,0.0015,0.0015
0.2214393852551778,0.9187916666666667,0.2854975791687661,0.895,0.0015,0.0015
0.21930927379926046,0.9184583333333334,0.2861105317765094,0.8945,0.0015,0.0015
0.21280098297198613,0.9209375,0.27664548982965187,0.8975,0.0015,0.0015
0.21743403967221578,0.9180208333333333,0.28608573148859306,0.891,0.0015,0.0015
0.21279778927564622,0.9197916666666667,0.2790134111617474,0.8979166666666667,0.0015,0.0015
0.21142154276371003,0.920875,0.27948651890805426,0.89475,0.0015,0.0015
0.21314815787474314,0.920625,0.28018839784125066,0.89775,0.0015,0.0015
0.2151789046327273,0.9190208333333333,0.28473677058169183,0.8949166666666667,0.0015,0.0015
0.21233288351694743,0.9207083333333334,0.278328777944788,0.897,0.00075,0.00075
0.2083531089425087,0.9220625,0.28369175087898335,0.8973333333333333,0.00075,0.00075
0.2064188558459282,0.9220416666666666,0.2829428343696797,0.89525,0.00075,0.00075
0.20922715051968893,0.9233125,0.2854200737907531,0.8954166666666666,0.00075,0.00075
0.20389096198479334,0.9242083333333333,0.2822372063677362,0.8955833333333333,0.00075,0.00075
0.208407861550649,0.9223125,0.2824984519405568,0.8975833333333333,0.00075,0.00075
0.2035525771578153,0.9228541666666666,0.27792976416171866,0.89775,0.000375,0.000375
0.20462599281469981,0.9240833333333334,0.2857472519291208,0.8960833333333333,0.000375,0.000375
0.20282319404681523,0.9251666666666667,0.2856072447401412,0.8954166666666666,0.000375,0.000375
0.20265103024244308,0.9253958333333333,0.27911147760584,0.89875,0.000375,0.000375
0.2039060049255689,0.9240416666666667,0.2799727146295791,0.8980833333333333,0.000375,0.000375
0.20918273599942525,0.9214166666666667,0.28952430220360453,0.8941666666666667,0.000375,0.000375
0.20211521834135054,0.9248125,0.27940247192027723,0.8971666666666667,0.0001875,0.0001875
0.1979270828962326,0.9266875,0.27826168308866783,0.8971666666666667,0.0001875,0.0001875
0.20292793849110605,0.9241041666666666,0.2780942961256555,0.8983333333333333,0.0001875,0.0001875
0.2012359318335851,0.9240625,0.28395650678492607,0.8975833333333333,0.0001875,0.0001875
0.20031938662131626,0.9255625,0.2759492644604216,0.89725,0.0001875,0.0001875
0.19879686790704726,0.9266875,0.2757342315100609,0.8999166666666667,0.0001875,0.0001875
